county,year,total_elig_pop,total_regis_pop,female_ballots_cast,male_ballots_cast,total_ballots_cast,female_reg_pop_pct,male_reg_pop_pct,total_reg_pop_pct,female_turnout_pop_pct,male_turnout_pop_pct,total_turnout_pop_pct,female_turnout_reg_pct,male_turnout_reg_pct,total_turout_reg_pct,id,lat,long,fips_code
Adams,2016,11675,6695,2533,2320,4853,0.606,0.542,0.573,0.44,0.392,0.416,0.726,0.724,0.725,1,,,001
Asotin,2016,17585,14124,5434,4714,10156,0.836,0.767,0.803,0.604,0.548,0.578,0.723,0.715,0.719,2,,,003
Benton,2016,141031,107927,43009,39373,84406,0.77,0.721,0.765,0.607,0.561,0.598,0.788,0.778,0.782,3,,,005
Chelan,2016,58011,43550,18468,16474,34967,0.77,0.729,0.751,0.628,0.576,0.603,0.815,0.79,0.803,4,,,007
Clallam,2016,60666,51053,22005,19030,41037,0.88,0.802,0.842,0.716,0.636,0.676,0.813,0.793,0.804,5,,,009
Clark,2016,349465,274699,112349,98401,210754,0.806,0.765,0.786,0.628,0.577,0.603,0.779,0.755,0.767,6,,,011
Columbia,2016,3298,2721,1194,1084,2278,0.865,0.785,0.825,0.724,0.658,0.691,0.837,0.838,0.837,7,,,013
Cowlitz,2016,81131,63292,25176,22672,47878,0.8,0.759,0.78,0.61,0.569,0.59,0.762,0.75,0.756,8,,,015
Douglas,2016,30348,20825,8329,7543,16134,0.702,0.648,0.686,0.546,0.499,0.532,0.778,0.77,0.775,9,,,017
Ferry,2016,6294,4675,1908,1849,3757,0.774,0.713,0.743,0.629,0.568,0.597,0.812,0.796,0.804,10,,,019
Franklin,2016,59194,34133,13111,11658,25070,0.618,0.525,0.577,0.459,0.38,0.424,0.743,0.725,0.734,11,,,021
Garfield,2016,1759,1554,678,621,1299,0.893,0.873,0.883,0.756,0.72,0.738,0.846,0.825,0.836,12,,,023
Grant,2016,66572,39775,15603,14135,29780,0.639,0.556,0.597,0.481,0.414,0.447,0.753,0.745,0.749,13,,,025
GraysHarbor,2016,57748,39874,15623,13910,29777,0.75,0.624,0.69,0.565,0.462,0.516,0.753,0.741,0.747,14,,,027
Island,2016,66803,55406,23999,20861,44860,0.854,0.804,0.829,0.704,0.638,0.672,0.825,0.793,0.81,15,,,029
Jefferson,2016,27028,24593,11258,9899,21157,0.942,0.877,0.91,0.824,0.741,0.783,0.875,0.845,0.86,16,,,031
King,2016,1663647,1291250,547122,492569,1040996,0.794,0.756,0.776,0.653,0.596,0.626,0.823,0.789,0.806,17,,,033
Kitsap,2016,207645,166843,68590,61582,130178,0.839,0.769,0.804,0.666,0.588,0.627,0.794,0.765,0.78,18,,,035
Kittitas,2016,35149,24580,10377,9572,19949,0.74,0.661,0.699,0.609,0.528,0.568,0.823,0.799,0.812,19,,,037
Klickitat,2016,17055,13962,5752,5498,11250,0.836,0.802,0.819,0.685,0.635,0.66,0.82,0.792,0.806,20,,,039
Lewis,2016,60180,46024,18780,16929,35715,0.797,0.732,0.765,0.623,0.564,0.593,0.782,0.77,0.776,21,,,041
Lincoln,2016,8415,7087,2997,2952,5949,0.839,0.845,0.842,0.712,0.702,0.707,0.849,0.83,0.839,22,,,043
Mason,2016,50230,37699,15376,13994,29376,0.804,0.7,0.751,0.633,0.539,0.585,0.788,0.77,0.779,23,,,045
Okanogan,2016,32116,22485,9312,8527,17839,0.734,0.667,0.7,0.585,0.526,0.555,0.798,0.789,0.793,24,,,047
Pacific,2016,17563,14106,5882,5280,11169,0.837,0.769,0.803,0.674,0.597,0.636,0.806,0.777,0.792,25,,,049
PendOreille,2016,10759,8921,3641,3452,7128,0.852,0.799,0.829,0.687,0.632,0.663,0.807,0.791,0.799,26,,,051
Pierce,2016,640661,492339,195546,169427,365062,0.791,0.744,0.768,0.597,0.542,0.57,0.754,0.728,0.741,27,,,053
SanJuan,2016,14132,12746,5999,5239,11259,0.922,0.877,0.902,0.826,0.763,0.797,0.895,0.87,0.883,28,,,055
Skagit,2016,94897,73987,31497,27511,59009,0.815,0.743,0.78,0.656,0.587,0.622,0.805,0.789,0.798,29,,,057
Skamania,2016,9247,7463,3028,2858,5893,0.818,0.794,0.807,0.661,0.612,0.637,0.808,0.771,0.79,30,,,059
Snohomish,2016,596996,455609,188767,167637,356472,0.791,0.735,0.763,0.631,0.563,0.597,0.798,0.766,0.782,31,,,061
Spokane,2016,380236,306763,126968,110815,239180,0.83,0.772,0.807,0.657,0.593,0.629,0.792,0.768,0.78,32,,,063
Stevens,2016,34893,30110,12175,11416,23684,0.873,0.845,0.863,0.691,0.661,0.679,0.792,0.782,0.787,33,,,065
Thurston,2016,212889,175432,73407,62390,135884,0.84,0.805,0.824,0.663,0.611,0.638,0.789,0.758,0.775,34,,,067
Wahkiakum,2016,3349,3010,1235,1206,2441,0.902,0.895,0.899,0.738,0.719,0.729,0.818,0.803,0.811,35,,,069
WallaWalla,2016,47312,33231,14123,12508,26635,0.748,0.657,0.702,0.603,0.524,0.563,0.806,0.797,0.802,36,,,071
Whatcom,2016,169182,139269,61066,53788,114854,0.848,0.798,0.823,0.713,0.644,0.679,0.841,0.807,0.825,37,,,073
Whitman,2016,39913,22947,9356,8641,18178,0.581,0.557,0.575,0.471,0.431,0.455,0.811,0.773,0.792,38,,,075
Yakima,2016,172849,114177,43642,37208,80853,0.681,0.638,0.661,0.487,0.447,0.468,0.715,0.701,0.708,39,,,077
WashingtonState,2016,5557921,4284936,1775315,1575543,3357116,0.794,0.744,0.771,0.633,0.573,0.604,0.797,0.77,0.783,40,NULL,NULL,NULL
